5	Naruto	10.00	20.00	30.00	3000.00	87000.00
9	sayan	2.50	7.25	15.75	4566.00	69739.50
1	Rajdeep	10.00	20.00	30.00	2.50	25.00
6	Aritra	2.50	7.25	15.75	900.00	12000.00
8	antara	10.00	20.00	30.00	500.00	12000.00
7	Modak	10.00	20.00	30.00	250.00	4500.00
12	Aman	10.00	20.00	30.00	3500.00	102000.00
23	Mike	10.00	20.00	30.00	4500.00	132000.00
5	Naruto	10.00	20.00	30.00	14.00	140.00
90	Mustafa	200.00	300.00	12.00	120.00	26000.00
12	ANAS	200.00	300.00	12.00	122.00	26600.00
5	Mustafa	120.00	130.00	140.00	45.00	225.00
12345	ANAS	120.00	130.00	140.00	120.00	600.00
